,Nom_Districte,Nom_Barri,Sexe,Nombre,Edat
203,Sant Andreu,Baró de Viver,Dones,10,2
204,Sant Andreu,el Bon Pastor,Dones,67,2
205,Sant Andreu,Sant Andreu,Dones,212,2
206,Sant Andreu,la Sagrera,Dones,93,2
207,Sant Andreu,el Congrés i els Indians,Dones,46,2
208,Sant Andreu,Navas,Dones,69,2
209,Sant Martí,el Camp de l'Arpa del Clot,Dones,130,2
210,Sant Martí,el Clot,Dones,80,2
211,Sant Martí,el Parc i la Llacuna del Poblenou,Dones,60,2
212,Sant Martí,la Vila Olímpica del Poblenou,Dones,28,2
213,Sant Martí,el Poblenou,Dones,144,2
214,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Dones,58,2
215,Sant Martí,el Besòs i el Maresme,Dones,119,2
216,Sant Martí,Provençals del Poblenou,Dones,96,2
217,Sant Martí,Sant Martí de Provençals,Dones,84,2
218,Sant Martí,la Verneda i la Pau,Dones,93,2
219,Ciutat Vella,el Raval,Dones,215,3
220,Ciutat Vella,el Barri Gòtic,Dones,50,3
221,Ciutat Vella,la Barceloneta,Dones,44,3
222,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Dones,72,3
223,Eixample,el Fort Pienc,Dones,99,3
224,Eixample,la Sagrada Família,Dones,158,3
225,Eixample,la Dreta de l'Eixample,Dones,139,3
226,Eixample,l'Antiga Esquerra de l'Eixample,Dones,133,3
227,Eixample,la Nova Esquerra de l'Eixample,Dones,212,3
228,Eixample,Sant Antoni,Dones,111,3
229,Sants-Montjuïc,el Poble Sec,Dones,137,3
230,Sants-Montjuïc,la Marina del Prat Vermell,Dones,7,3
231,Sants-Montjuïc,la Marina de Port,Dones,115,3
232,Sants-Montjuïc,la Font de la Guatlla,Dones,22,3
233,Sants-Montjuïc,Hostafrancs,Dones,66,3
234,Sants-Montjuïc,la Bordeta,Dones,73,3
235,Sants-Montjuïc,Sants - Badal,Dones,91,3
236,Sants-Montjuïc,Sants,Dones,159,3
237,Les Corts,les Corts,Dones,167,3
238,Les Corts,la Maternitat i Sant Ramon,Dones,81,3
239,Les Corts,Pedralbes,Dones,36,3
240,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Dones,27,3
241,Sarrià-Sant Gervasi,Sarrià,Dones,120,3
242,Sarrià-Sant Gervasi,les Tres Torres,Dones,84,3
243,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dones,98,3
244,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Dones,185,3
245,Sarrià-Sant Gervasi,el Putxet i el Farró,Dones,137,3
246,Gràcia,Vallcarca i els Penitents,Dones,64,3
247,Gràcia,el Coll,Dones,27,3
248,Gràcia,la Salut,Dones,44,3
249,Gràcia,la Vila de Gràcia,Dones,176,3
250,Gràcia,el Camp d'en Grassot i Gràcia Nova,Dones,138,3
251,Horta-Guinardó,el Baix Guinardó,Dones,90,3
252,Horta-Guinardó,Can Baró,Dones,44,3
253,Horta-Guinardó,el Guinardó,Dones,140,3
254,Horta-Guinardó,la Font d'en Fargues,Dones,32,3
255,Horta-Guinardó,el Carmel,Dones,130,3
256,Horta-Guinardó,la Teixonera,Dones,44,3
257,Horta-Guinardó,Sant Genís dels Agudells,Dones,34,3
258,Horta-Guinardó,Montbau,Dones,15,3
259,Horta-Guinardó,la Vall d'Hebron,Dones,15,3
260,Horta-Guinardó,la Clota,Dones,4,3
261,Horta-Guinardó,Horta,Dones,106,3
262,Nou Barris,Vilapicina i la Torre Llobeta,Dones,111,3
263,Nou Barris,Porta,Dones,115,3
264,Nou Barris,el Turó de la Peira,Dones,82,3
265,Nou Barris,Can Peguera,Dones,8,3
266,Nou Barris,la Guineueta,Dones,42,3
267,Nou Barris,Canyelles,Dones,15,3
268,Nou Barris,les Roquetes,Dones,82,3
269,Nou Barris,Verdun,Dones,48,3
270,Nou Barris,la Prosperitat,Dones,102,3
271,Nou Barris,la Trinitat Nova,Dones,33,3
272,Nou Barris,Torre Baró,Dones,8,3
273,Nou Barris,Ciutat Meridiana,Dones,50,3
274,Nou Barris,Vallbona,Dones,9,3
275,Sant Andreu,la Trinitat Vella,Dones,64,3
276,Sant Andreu,Baró de Viver,Dones,12,3
277,Sant Andreu,el Bon Pastor,Dones,62,3
278,Sant Andreu,Sant Andreu,Dones,238,3
279,Sant Andreu,la Sagrera,Dones,102,3
280,Sant Andreu,el Congrés i els Indians,Dones,50,3
281,Sant Andreu,Navas,Dones,82,3
282,Sant Martí,el Camp de l'Arpa del Clot,Dones,147,3
283,Sant Martí,el Clot,Dones,80,3
284,Sant Martí,el Parc i la Llacuna del Poblenou,Dones,77,3
285,Sant Martí,la Vila Olímpica del Poblenou,Dones,31,3
286,Sant Martí,el Poblenou,Dones,142,3
287,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Dones,48,3
